timestamp,action_type,action_side,qty
1761080447584,ADD_ORDER,BUY,1
1761080447584,ADD_ORDER,SELL,3
1761080447584,ADD_ORDER,SELL,4
1761080447584,ADD_ORDER,SELL,2
1761080447585,ADD_ORDER,SELL,4
1761080447585,ADD_ORDER,SELL,4
1761080447585,ADD_ORDER,SELL,4
1761080447585,ADD_ORDER,BUY,2
1761080447585,ADD_ORDER,BUY,5
1761080447585,ADD_ORDER,SELL,3
1761080447585,ADD_ORDER,SELL,5
1761080447585,ADD_ORDER,SELL,5
1761080447585,ADD_ORDER,SELL,4
1761080447586,ADD_ORDER,BUY,3
1761080447587,ADD_ORDER,SELL,5
1761080447587,ADD_ORDER,SELL,3
1761080447587,ADD_ORDER,SELL,3
1761080447587,ADD_ORDER,BUY,1
1761080447587,ADD_ORDER,BUY,3
1761080447587,ADD_ORDER,SELL,4
1761080447642,ADD_ORDER,SELL,5
1761080447642,ADD_ORDER,SELL,4
1761080447642,ADD_ORDER,BUY,1
1761080447642,ADD_ORDER,BUY,5
1761080447642,ADD_ORDER,SELL,1
1761080447642,ADD_ORDER,SELL,1
1761080447642,ADD_ORDER,BUY,1
1761080447642,ADD_ORDER,BUY,2
1761080447642,ADD_ORDER,SELL,1
1761080447642,ADD_ORDER,BUY,2
1761080447642,ADD_ORDER,SELL,5
1761080447642,ADD_ORDER,BUY,2
1761080447643,ADD_ORDER,BUY,4
1761080447643,ADD_ORDER,BUY,5
1761080447643,ADD_ORDER,SELL,3
1761080447643,ADD_ORDER,BUY,2
1761080447643,ADD_ORDER,BUY,2
1761080447643,ADD_ORDER,BUY,5
1761080447643,ADD_ORDER,BUY,5
1761080447643,ADD_ORDER,SELL,4
1761080447643,ADD_ORDER,SELL,3
1761080447643,ADD_ORDER,SELL,2
1761080447643,ADD_ORDER,BUY,5
1761080447643,ADD_ORDER,BUY,5
1761080447694,ADD_ORDER,BUY,2
1761080447694,ADD_ORDER,BUY,3
1761080447695,ADD_ORDER,SELL,2
1761080447695,ADD_ORDER,BUY,5
1761080447695,ADD_ORDER,SELL,2
1761080447695,ADD_ORDER,BUY,3
1761080447695,ADD_ORDER,BUY,3
1761080447695,ADD_ORDER,BUY,1
1761080447695,ADD_ORDER,SELL,5
1761080447695,ADD_ORDER,BUY,4
1761080447695,ADD_ORDER,SELL,3
1761080447695,ADD_ORDER,SELL,5
1761080447696,ADD_ORDER,SELL,5
1761080447696,ADD_ORDER,BUY,2
1761080447696,ADD_ORDER,BUY,2
1761080447696,ADD_ORDER,BUY,4
1761080447696,ADD_ORDER,SELL,4
1761080447696,ADD_ORDER,SELL,1
1761080447696,ADD_ORDER,SELL,5
1761080447696,ADD_ORDER,BUY,3
1761080447696,ADD_ORDER,SELL,1
1761080447696,ADD_ORDER,BUY,2
1761080447696,ADD_ORDER,SELL,3
1761080447697,ADD_ORDER,BUY,3
1761080447753,ADD_ORDER,BUY,5
1761080447753,ADD_ORDER,SELL,1
1761080447754,ADD_ORDER,SELL,1
1761080447754,ADD_ORDER,SELL,3
1761080447754,ADD_ORDER,SELL,3
1761080447754,ADD_ORDER,BUY,4
1761080447755,ADD_ORDER,SELL,1
1761080447755,ADD_ORDER,BUY,5
1761080447755,ADD_ORDER,BUY,5
1761080447755,ADD_ORDER,SELL,4
1761080447755,ADD_ORDER,BUY,5
1761080447756,ADD_ORDER,BUY,1
1761080447756,ADD_ORDER,SELL,1
1761080447756,ADD_ORDER,SELL,4
1761080447756,ADD_ORDER,BUY,3
1761080447758,ADD_ORDER,BUY,1
1761080447758,ADD_ORDER,BUY,1
1761080447758,ADD_ORDER,SELL,3
1761080447758,ADD_ORDER,SELL,2
1761080447759,ADD_ORDER,SELL,3
1761080447759,ADD_ORDER,BUY,4
1761080447759,ADD_ORDER,BUY,1
1761080447759,ADD_ORDER,BUY,1
1761080447759,ADD_ORDER,BUY,1
1761080447814,ADD_ORDER,BUY,5
1761080447815,ADD_ORDER,SELL,4
1761080447815,ADD_ORDER,BUY,1
1761080447815,ADD_ORDER,SELL,1
1761080447815,ADD_ORDER,SELL,3
1761080447815,ADD_ORDER,BUY,5
1761080447815,ADD_ORDER,SELL,2
1761080447815,ADD_ORDER,SELL,5
1761080447815,ADD_ORDER,BUY,1
1761080447815,ADD_ORDER,BUY,4
1761080447815,ADD_ORDER,SELL,4
1761080447815,ADD_ORDER,SELL,1
1761080447815,ADD_ORDER,SELL,4
1761080447816,ADD_ORDER,BUY,4
1761080447816,ADD_ORDER,SELL,5
1761080447816,ADD_ORDER,SELL,2
1761080447816,ADD_ORDER,BUY,4
1761080447816,ADD_ORDER,SELL,5
1761080447816,ADD_ORDER,SELL,4
1761080447816,ADD_ORDER,SELL,4
1761080447816,ADD_ORDER,SELL,5
1761080447816,ADD_ORDER,BUY,4
1761080447816,ADD_ORDER,BUY,3
1761080447816,ADD_ORDER,BUY,5
1761080447870,ADD_ORDER,SELL,2
1761080447870,ADD_ORDER,SELL,2
1761080447871,ADD_ORDER,BUY,3
1761080447871,ADD_ORDER,SELL,3
1761080447871,ADD_ORDER,SELL,2
1761080447871,ADD_ORDER,SELL,3
1761080447871,ADD_ORDER,SELL,2
1761080447871,ADD_ORDER,SELL,5
1761080447872,ADD_ORDER,SELL,3
1761080447872,ADD_ORDER,BUY,4
1761080447872,ADD_ORDER,BUY,5
1761080447872,ADD_ORDER,SELL,5
1761080447872,ADD_ORDER,SELL,4
1761080447872,ADD_ORDER,SELL,4
1761080447872,ADD_ORDER,SELL,4
1761080447872,ADD_ORDER,SELL,5
1761080447872,ADD_ORDER,SELL,5
1761080447872,ADD_ORDER,SELL,3
1761080447873,ADD_ORDER,SELL,5
1761080447873,ADD_ORDER,BUY,2
1761080447873,ADD_ORDER,BUY,2
1761080447873,ADD_ORDER,SELL,3
1761080447873,ADD_ORDER,BUY,5
1761080447873,ADD_ORDER,BUY,2
1761080447929,ADD_ORDER,BUY,1
1761080447929,ADD_ORDER,SELL,3
1761080447929,ADD_ORDER,BUY,1
1761080447930,ADD_ORDER,BUY,4
1761080447930,ADD_ORDER,BUY,5
1761080447930,ADD_ORDER,BUY,5
1761080447930,ADD_ORDER,BUY,4
1761080447930,ADD_ORDER,BUY,1
1761080447930,ADD_ORDER,SELL,2
1761080447931,ADD_ORDER,BUY,3
1761080447931,ADD_ORDER,SELL,4
1761080447931,ADD_ORDER,BUY,5
1761080447931,ADD_ORDER,BUY,1
1761080447931,ADD_ORDER,SELL,4
1761080447931,ADD_ORDER,BUY,4
1761080447931,ADD_ORDER,BUY,5
1761080447931,ADD_ORDER,SELL,4
1761080447932,ADD_ORDER,BUY,4
1761080447932,ADD_ORDER,SELL,3
1761080447932,ADD_ORDER,SELL,2
1761080447932,ADD_ORDER,BUY,3
1761080447932,ADD_ORDER,BUY,4
1761080447932,ADD_ORDER,BUY,3
1761080447932,ADD_ORDER,SELL,2
1761080447988,ADD_ORDER,BUY,3
1761080447988,ADD_ORDER,BUY,5
1761080447989,ADD_ORDER,BUY,5
1761080447989,ADD_ORDER,BUY,3
1761080447989,ADD_ORDER,SELL,1
1761080447989,ADD_ORDER,SELL,4
1761080447989,ADD_ORDER,SELL,4
1761080447989,ADD_ORDER,BUY,2
1761080447990,ADD_ORDER,SELL,3
1761080447990,ADD_ORDER,SELL,5
1761080447990,ADD_ORDER,SELL,1
1761080447990,ADD_ORDER,SELL,3
1761080447990,ADD_ORDER,SELL,2
1761080447990,ADD_ORDER,BUY,3
1761080447990,ADD_ORDER,BUY,5
1761080447990,ADD_ORDER,BUY,3
1761080447990,ADD_ORDER,SELL,2
1761080447990,ADD_ORDER,BUY,4
1761080447991,ADD_ORDER,SELL,1
1761080447991,ADD_ORDER,SELL,2
1761080447991,ADD_ORDER,SELL,1
1761080447991,ADD_ORDER,BUY,2
1761080447991,ADD_ORDER,SELL,4
1761080447991,ADD_ORDER,BUY,4
1761080448044,ADD_ORDER,BUY,4
1761080448044,ADD_ORDER,SELL,4
1761080448044,ADD_ORDER,SELL,3
1761080448044,ADD_ORDER,BUY,2
1761080448045,ADD_ORDER,SELL,1
1761080448045,ADD_ORDER,BUY,1
1761080448045,ADD_ORDER,SELL,2
1761080448045,ADD_ORDER,BUY,1
1761080448045,ADD_ORDER,SELL,3
1761080448045,ADD_ORDER,BUY,4
1761080448045,ADD_ORDER,BUY,1
1761080448045,ADD_ORDER,SELL,1
1761080448046,ADD_ORDER,BUY,4
1761080448046,ADD_ORDER,SELL,3
1761080448046,ADD_ORDER,SELL,4
1761080448046,ADD_ORDER,SELL,2
1761080448046,ADD_ORDER,SELL,5
1761080448046,ADD_ORDER,SELL,3
1761080448046,ADD_ORDER,SELL,1
1761080448046,ADD_ORDER,BUY,1
1761080448046,ADD_ORDER,SELL,5
1761080448046,ADD_ORDER,BUY,2
1761080448046,ADD_ORDER,BUY,5
1761080448047,ADD_ORDER,SELL,5
1761080448104,ADD_ORDER,BUY,3
1761080448105,ADD_ORDER,BUY,1
1761080448105,ADD_ORDER,SELL,5
1761080448105,ADD_ORDER,BUY,5
1761080448106,ADD_ORDER,SELL,4
1761080448107,ADD_ORDER,SELL,5
1761080448107,ADD_ORDER,SELL,2
1761080448107,ADD_ORDER,SELL,2
1761080448107,ADD_ORDER,SELL,3
1761080448107,ADD_ORDER,SELL,4
1761080448107,ADD_ORDER,BUY,4
1761080448107,ADD_ORDER,BUY,3
1761080448107,ADD_ORDER,SELL,1
1761080448107,ADD_ORDER,SELL,4
1761080448108,ADD_ORDER,SELL,4
